,Lat,Lon
Customs Hse  Times Tower,-1.290278,36.8217003
Airport Container Depot To Customs Hse Msa,-4.0633338,39.6682077
Wilson Airport,None,
Egerton University Njoro,None,
Sameer Park,None,
Icd Naivasha Sgr,None,
Kajiado,None,
Narok,None,
Maralal,None,
Cbc Upper Hill,None,
Wan Backhaul,None,
Sameer Park Mri,None,
Bungoma Microwave,None,
Dr Backhaul Fibre,None,
Fortiswestlands Loop Fiber,None,
Garissa Loop Microwave,None,
Isiolo Loop Microwave,None,
Kajiadoloopfiber,None,
Kericho Fiber,None,
Kilifi Microwave,None,
Kilindini 20  Mbps Mpls,None,
Lwakhakha,None,
Kopanga,None,
Sio Port,None,
Maralal,None,
Kitui Ceragon,None,
Loitoktok Border Wimax,None,
Lunga Lunga Wimax,None,
Mandera,None,
Meru Loop Ceragon,None,
Moi Airport Msa Loop Microwave,None,
Moyale,None,
Muranga  15  Mbps Mpls,None,
Naivasha Loop Fiber,None,
Naivasha Icdmicrowave Mpls,None,
Namanga Wimax,None,
Narokloopceragon,None,
Nyeri Ceragon,None,
Mbita Ceragon,None,
Podo Parkkesra Loop Fiber,None,
Shimoni Wimax,None,
Taveta Ceragon,None,
Wajir Town,None,
Usenge 10  Mbps Mpls,None,
Kenya School Of Revenue  Fiber,None,
Siaya,None,
