Invoice_Date,Link_ID,SLA_Date,Invoice_Period,Invoice_Description,Invoice_Reference,Total_QRC,Invoice_Quarter,Invoice_Fyr,modified_Link_ID,Unique_Link_Identifier_Invoice,Service_Provider
2023-10-01,95001135,2020-12-16,01-Oct-2023 to 31-Dec-2023, CUSTOMS OFFICE MALINDI-WIMAX,B1-10096515502,240145.6128,Q2,Fyr 2023/24,2020-12-Saf00_95001135,B1-10096515502_95001135_2020,Saf
2023-10-01,95001574,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA LOITOKTOK BORDER WIMAX,B1-10096515502,240145.6128,Q2,Fyr 2023/24,2020-12-Saf00_95001574,B1-10096515502_95001574_2020,Saf
2023-10-01,95001628,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA KRATI MOMBASA WIMAX,B1-10096515502,240145.6128,Q2,Fyr 2023/24,2020-12-Saf00_95001628,B1-10096515502_95001628_2020,Saf
2023-10-01,95004139,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA -  MANDERA,B1-10096515502,180078.7944,Q2,Fyr 2023/24,2020-12-Saf00_95004139,B1-10096515502_95004139_2020,Saf
2023-10-01,95004140,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA -  Moyale,B1-10096515502,240145.6128,Q2,Fyr 2023/24,2020-12-Saf00_95004140,B1-10096515502_95004140_2020,Saf
2023-10-01,95004141,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA WIMAX-WAJIR TOWN,B1-10096515502,180078.7944,Q2,Fyr 2023/24,2020-12-Saf00_95004141,B1-10096515502_95004141_2020,Saf
2023-10-01,95006961,2023-10-01,01-Oct-2023 to 31-Dec-2023,KRA FIXED DATA ACCOUNTS,B1-10096515502,45134.6252346,Q2,Fyr 2023/24,2023-10-Saf01_95006961,B1-10096515502_95006961_2023,Saf
2023-10-01,95006963,2023-10-01,01-Oct-2023 to 31-Dec-2023,KRA FIXED DATA ACCOUNTS,B1-10096515502,45134.6252346,Q2,Fyr 2023/24,2023-10-Saf01_95006963,B1-10096515502_95006963_2023,Saf
2023-10-01,95009016,,01-Oct-2023 to 31-Dec-2023,KRA FIXED DATA ACCOUNTS,B1-10096515502,440220.0,Q2,Fyr 2023/24,0000-00-Saf02_95009016,B1-10096515502_95009016_0000,Saf
2023-10-01,95021939,2023-10-01,01-Oct-2023 to 31-Dec-2023,KENYA  SCHOOL OF REVENUE  -FIBER,B1-10096515502,61230.60000000001,Q2,Fyr 2023/24,2023-10-Saf01_95021939,B1-10096515502_95021939_2023,Saf
2023-10-01,95022778,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA-  KERICHO FIBER,B1-10096515502,240145.6128,Q2,Fyr 2023/24,2020-12-Saf00_95022778,B1-10096515502_95022778_2020,Saf
2023-10-01,95034216,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA-HQ-INTERNET,B1-10096515502,889643.9997,Q2,Fyr 2023/24,2020-12-Saf00_95034216,B1-10096515502_95034216_2020,Saf
2023-10-01,95034612,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA-KISUMU-LOOP-MICROWAVE,B1-10096515502,180078.7944,Q2,Fyr 2023/24,2020-12-Saf00_95034612,B1-10096515502_95034612_2020,Saf
2023-10-01,95035537,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA-KILIFI MICROWAVE,B1-10096515502,240145.6128,Q2,Fyr 2023/24,2020-12-Saf00_95035537,B1-10096515502_95035537_2020,Saf
2023-10-01,95035538,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA-TAVETA CERAGON,B1-10096515502,280129.995,Q2,Fyr 2023/24,2020-12-Saf00_95035538,B1-10096515502_95035538_2020,Saf
2023-10-01,95038953,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA- DR BACKHAUL FIBRE,B1-10096515502,374205.4092000001,Q2,Fyr 2023/24,2020-12-Saf00_95038953,B1-10096515502_95038953_2020,Saf
