Link_ID,SLA_Date,Last_Mile,Capacity_in_Mbps,Location,MRC_Excl,SLM_Comments,QRC_Incl,SLA_ID,Unique_Link_Identifier_SLA,Service_Provider,lat,lon
95054463,2020-12-16,MPLS,25,Bungoma,20352.8,Upgrade 5>25 Mbps. Check Upgrade Docs. KES 44997.2,70827.74,2020-12-Saf00,2020-12-Saf00_95054463,Saf,0.78292445,34.71916810731902
95096538,2020-12-16,MPLS,12,Busia,70008.3,,243628.88,2020-12-Saf00,2020-12-Saf00_95096538,Saf,0.3712048,34.26479520608315
95038953,2020-12-16,MPLS,80,Nairobi-Times Tower,93504.6,,325396.01,2020-12-Saf00,2020-12-Saf00_95038953,Saf,-1.2904051,36.8242254
95054464,2020-12-16,MPLS,60,Eldoret Kiptagich Mpls,25439.4,Upgrade 10>60 Mbps. Check Upgrade Docs. KES 69997.5,88529.11,2020-12-Saf00,2020-12-Saf00_95054464,Saf,0.5198329,35.2715481
95054465,2020-12-16,MPLS,5,Eldoret Kpc,20357.4,,70843.75,2020-12-Saf00,2020-12-Saf00_95054465,Saf,0.5198329,35.2715481
95034216,2020-12-16,Internet,180,Nairobi-Times Tower,222299.85,,889644.0,2020-12-Saf00,2020-12-Saf00_95034216,Saf,-1.2904051,36.8242254
95054467,2020-12-16,MPLS,10,Forodha Jkia,25439.4,,88529.11,2020-12-Saf00,2020-12-Saf00_95054467,Saf,-1.3371965,36.9171283
95054468,2020-12-16,MPLS,30,Fortis westlands,20352.8,"Upgrade 5>30 Mbps. Check Upgrade Docs. KES  60,006.40 ",70827.74,2020-12-Saf00,2020-12-Saf00_95054468,Saf,-1.2648843,36.803928
95054469,2020-12-16,MPLS,20,Garissa,21373.0,Upgrade 6>20 Mbps. Check Upgrade Docs. KES 69997.5,74378.04,2020-12-Saf00,2020-12-Saf00_95054469,Saf,-0.4567099,39.6404713
95054470,2020-12-16,MPLS,20,Isiolo,20357.4,Upgrade 6>20 Mbps. Check Upgrade Docs. KES 20352.8,70843.75,2020-12-Saf00,2020-12-Saf00_95054470,Saf,1.0060600499999999,38.74789538540634
