Location,lat,lon,
Icd Naivasha Sgr,-6.83185285,39.23984746,
Kilindini 20  Mbps Mpls,-5.1482506,38.3952741,
kilindini,-5.1482506,38.3952741,
Lunga Lunga,-4.3533981,38.96226442,
Mombasa - Customs House,-4.05052,39.667169,
Mia Mombasa Baggage Hall,-4.05052,39.667169,
Ti Mombasa,-4.05052,39.667169,
Mombasa - Customs House,-4.05052,39.667169,
Voi,-3.5592753,38.80360489,
Taveta,-3.559095,37.94553598,
Malindi,-3.2165987,40.1165933,
Kilifi,-3.15073925,39.67507159,
Loitoktok Border,-2.92079845,37.50140536,
Namanga,-2.5480008,36.7926632,
Lamu Airport,-2.25515925,40.91468617,
Kajiado,-2.12171705,36.78625504,
Kajiado,-2.12171705,36.78625504,
Kitui,-1.56422195,38.37281162,
Forodha Jkia,-1.3371965,36.9171283,
Nairobi-Sameer Park,-1.3299496,36.86640775,
Nairobi-Sameer Park,-1.3299496,36.86640775,
Jkia Terminal 2,-1.32953025,36.93262655,
Wilson Airport,-1.32412125,36.81124972,
Jkia Signon,-1.3169486,36.92885691,
Jkia Exports,-1.3169486,36.92885691,
Jkia Achil Shed,-1.3169486,36.92885691,
Jkia Swissport,-1.3169486,36.92885691,
Nairobi-Times Tower,-1.2904051,36.8242254,
Nairobi-Times Tower,-1.2904051,36.8242254,
Nairobi-Times Tower,-1.2904051,36.8242254,
Nairobi-Times Tower,-1.2904051,36.8242254,
Nairobi-Times Tower,-1.2904051,36.8242254,
Nairobi-Times Tower,-1.2904051,36.8242254,
Nairobi-Times Tower,-1.2904051,36.8242254,
Nairobi - City Hall,-1.28661395,36.82200257,
Nairobi,-1.2832533,36.8172449,
KESRA Nairobi,-1.2832533,36.8172449,
KESRA Nairobi,-1.2832533,36.8172449,
Nairobi-City Square,-1.2823792,36.8222341,
Machakos,-1.27900465,37.39526976,
Narok,-1.27793655,35.47742285,
Narok,-1.27793655,35.47742285,
Fortis westlands,-1.2648843,36.803928,
Isebania,-1.2376692,34.48013286,
Thika,-1.036648,37.077523,
Kiambu,-1.03639505,36.84313116,
Naivasha,-0.8870395,36.36487731,
Naivasha Icd Mpls,-0.8870395,36.36487731,
Kisii,-0.73894255,34.75398551,
Nakuru Generation,-0.7276337,36.4293473,
Cbc Upper Hill,-0.5949615,30.6685284,
Mbita,-0.4997824,34.31430372,
Garissa,-0.4567099,39.6404713,
Nyeri,-0.4192962,36.9517005,
Egerton University Njoro,-0.36856855,35.9322955,
Kericho,-0.3666,35.2833,
Nakuru Kpc,-0.2802724,36.0712048,
Kisumu,-0.1029109,34.7541761,
Kisumu Post Parcels (),-0.1029109,34.7541761,
Kisumu,-0.1029109,34.7541761,
Kisumu Airport,-0.0869947,34.7383296,
Usenge 10  Mbps Mpls,-0.0670539,34.0565093,
Kisumu Lake Basin Mall,-0.06575485,34.77502402,
Siaya,-0.06040135,34.20013501,
Nanyuki,0.01403,37.074632,
Meru,0.0499786,37.6500063,
Sio Port,0.2240966,34.0216329,
Shimoni,0.3172782,32.5908766,
Busia,0.3917103,34.01601353,
Busia,0.3917103,34.01601353,
Kakamega,0.4957104,34.80154886,
Eldoret Kiptagich Mpls,0.5198329,35.2715481,
Eldoret Kpc,0.5198329,35.2715481,
Malaba,0.6055481,34.1754439,
Bungoma,0.78292445,34.71916811,
Isiolo,1.00606005,38.74789539,
Kitale,1.018076,35.000236,
Muranga  15  Mbps Mpls,1.0694471,34.3207514,
Lwakhakha,1.0728347,34.1772262,
Maralal,1.1,36.7,
Maralal,1.1,36.7,
Wajir Town,1.7504651,40.0594959,
Moyale,2.86885305,38.83203238,
Lodwar,3.1165858,35.6022943,
Mandera,3.2285332,40.70561532,
