Link_ID,SLA_Date,Last_Mile,Capacity(Mbps),Location,MRC_Excl,SLM_Comments,QRC_Incl
95054463,2020-12-16,MPLS,25,BUNGOMA MICROWAVE,20352.8,Upgrade 5>25 Mbps. Check Upgrade Docs. KES 44997.2,79986.50399999999
95096538,2020-12-16,MPLS,12,BUSIA-WIMAX,70008.3,,275132.61899999995
95038953,2020-12-16,MPLS,80,DR BACKHAUL FIBRE,93504.6,,367473.078
95054464,2020-12-16,MPLS,60,ELDORET KIPTAGICH MPLS FIBER,25439.4,Upgrade 10>60 Mbps. Check Upgrade Docs. KES 69997.5,99976.84199999998
95054465,2020-12-16,MPLS,5,ELDORET KPC LOOP MICROWAVE,20357.4,,80004.582
95034216,2020-12-16,Internet ,180,HQ-INTERNET,222299.85,,873638.4105
95054467,2020-12-16,MPLS,10,FORODHA JKIA LOOP FIBER,25439.4,,99976.84199999998
95054468,2020-12-16,MPLS,30,FORTIS-WESTLANDS LOOP FIBER,20352.8,"Upgrade 5>30 Mbps. Check Upgrade Docs. KES  60,006.40 ",79986.50399999999
95054469,2020-12-16,MPLS,20,GARISSA LOOP MICROWAVE,21373.0,Upgrade 6>20 Mbps. Check Upgrade Docs. KES 69997.5,83995.88999999998
95054470,2020-12-16,MPLS,20,ISIOLO LOOP MICROWAVE,20357.4,Upgrade 6>20 Mbps. Check Upgrade Docs. KES 20352.8,80004.582
95096716,2020-12-16,MPLS,20,ISEBANIA-WIMAX,60006.4,"Upgrade 10>20 Mbps. Check Upgrade Docs. KES 73,685.10 ",235825.15199999997
95054471,2020-12-16,MPLS,5,JKIA ACHIL SHED LOOP FIBER,20352.8,,79986.50399999999
95054472,2020-12-16,MPLS,5,JKIA SWISSPORT,20352.8,,79986.50399999999
95054473,2020-12-16,MPLS,25,KAKAMEGA LOOP CERAGON,21366.0,Upgrade 6>25 Mbps. Check Upgrade Docs. KES 25432.4,83968.37999999999
95059101,2020-12-16,MPLS,4,KAJIADO-LOOP-FIBER,16998.4,,66803.712
95022778,2020-12-16,MPLS,10,KERICHO FIBER,60006.4,,235825.15199999997
95035537,2020-12-16,MPLS,10,KILIFI MICROWAVE,60006.4,,235825.15199999997
95065396,2020-12-16,MPLS,20,KILINDINI 20  Mbps MPLS,72414.0,,284587.01999999996
95044903,2020-12-16,MPLS,5,KRA-LWAKHAKHA,22500.0,Former Kilindini Gate 9 ,88424.99999999999
95044902,2020-12-16,MPLS,5,KRA-KOPANGA,29304.4,Former Kilindini Gate 18,115166.29199999999
95044901,2020-12-16,MPLS,5,KRA-SIO PORT,29304.4,Former Kilindini Gate 20,115166.29199999999
95044900,2020-12-16,MPLS,20,KRA-MARALAL,29304.4,"Former Kilindini Gate 22 down to KES 22,500. Upgrade 5>20 Mbps. Check Upgrade Docs. KES 22,500.00 ",115166.29199999999
95054474,2020-12-16,MPLS,10,KRA - KIAMBU,25439.4,"Former Kilindini Shed 5 to KRA Kiambu. Price down from KES348,000",99976.84199999998
95054475,2020-12-16,MPLS,30,KISII LOOP CERAGON,21366.0,Upgrade 6>30 Mbps. Check Upgrade Docs. KES 20352.8,83968.37999999999
95034612,2020-12-16,MPLS,10,KISUMU-LOOP-MICROWAVE,44997.2,,176838.99599999996
95045429,2020-12-16,MPLS,30,KITUI CERAGON,30003.2,"Upgrade 4>30 Mbps. Check Upgrade Docs. KES 30,003.20 ",117912.57599999999
95001628,2020-12-16,MPLS,10,KRATI MOMBASA WIMAX,60006.4,,235825.15199999997
95001574,2020-12-16,MPLS,10,LOITOKTOK BORDER WIMAX,60006.4,,235825.15199999997
95096873,2020-12-16,MPLS,12,LUNGA LUNGA WIMAX,69997.5,,275090.175
95054476,2020-12-16,MPLS,6,MACHAKOS LOOP FIBER,21366.0,,83968.37999999999
95096536,2020-12-16,MPLS,12,MALABA-WIMAX,69997.5,,275090.175
95001135,2020-12-16,MPLS,10,MALINDI-WIMAX,60006.4,,235825.15199999997
95004139,2020-12-16,MPLS,10,MANDERA,44997.2,,176838.99599999996
95054477,2020-12-16,MPLS,6,MERU LOOP CERAGON,21366.4,,83969.95199999999
95054466,2020-12-16,MPLS,10,MOI AIRPORT MSA LOOP MICROWAVE,25432.4,,99949.332
95004140,2020-12-16,MPLS,20,KRA - Moyale,60006.4,Upgrade 10>20 Mbps. Check Docs of Upgarade. KES 60006.4,235825.15199999997
95061438,2020-12-16,MPLS,15,MURANGA - 15  Mbps MPLS,18504.0,,72720.72
95054478,2020-12-16,MPLS,5,NAIVASHA LOOP FIBER,20352.8,,79986.50399999999
95062310,2020-12-16,MPLS,10,NAIVASHA ICD-MICROWAVE MPLS,50000.45,,196501.76849999995
95054479,2020-12-16,MPLS,35,NAKURU GENERATION LOOP FIBER,25439.4,"Upgrade 10>35 Mbps. Check Upgrade Docs. KES 20,352.80 ",99976.84199999998
95054480,2020-12-16,MPLS,5,NAKURU KPC MICROWAVE,20357.4,,80004.582
95096687,2020-12-16,MPLS,12,NAMANGA WIMAX,69997.5,,275090.175
95054481,2020-12-16,MPLS,5,NANYUKI LOOP FIBER,20352.8,,79986.50399999999
95059102,2020-12-16,MPLS,20,NAROK-LOOP-CERAGON,16998.4,Upgrade 4>20 Mbps. Check Upgrade Docs. KES 20357.4,66803.712
95054482,2020-12-16,MPLS,60,NYERI CERAGON,21366.0,Upgrade 6>60 Mbps. Check Upgrade Docs. KES 21366,83968.37999999999
95060864,2020-12-16,MPLS,5,MBITA CERAGON,19997.45,,78589.9785
95054484,2020-12-16,MPLS,30,PODO PARK-KESRA LOOP FIBER,30040.7,,118059.95099999999
95054485,2020-12-16,MPLS,10,KRA-CITY SQUARE PPO,25439.4,Former Railway Club,99976.84199999998
95096132,2020-12-16,MPLS,10,SHIMONI- WIMAX,44997.2,,176838.99599999996
95035538,2020-12-16,MPLS,12,TAVETA CERAGON,69997.5,,275090.175
95096537,2020-12-16,MPLS,30,THIKA-WIMAX,69997.5,"Upgrade 12>30 Mbps Billed KES 19,997.45",275090.175
95054486,2020-12-16,MPLS,5,VOI CERAGON,20352.8,,79986.50399999999
95004141,2020-12-16,MPLS,20,WAJIR TOWN,44997.2,"Upgrade 10>20 Mbps. Check Upgrade Docs. KES 44,997.20",176838.99599999996
95065397,2020-12-16,MPLS,10,USENGE 10  Mbps MPLS,43500.0,,170954.99999999997
95096538,2023-10-01,MPLS,20,KRA - BUSIA-FIBRE,82200.0,,323045.99999999994
95006961,2023-10-01,MPLS,15,KRA - FIXED 30th Floor 3001,11274.36,,44308.2348
95006963,2023-10-01,Internet ,15,KRA - FIXED 25th Floor 2575,11274.36,,44308.2348
95021939,2023-10-01,Internet ,10,KENYA SCHOOL OF REVENUE  -FIBER,15300.0,,60128.999999999985
95018756,2023-10-01,MPLS,10,KRA -SIAYA,38000.0,,149339.99999999997
