Link_ID,SLA_Date,Last_Mile,Capacity_in_Mbps,Location,MRC_Excl,SLM_Comments,QRC_Incl,SLA_ID,Service_Provider
95054463,2020-12-16,MPLS,25,BUNGOMA MICROWAVE,20352.8,Upgrade 5>25 Mbps. Check Upgrade Docs. KES 44997.2,70827.74,SAFARICOM-SLA-(),SAFARICOM
95038953,2020-12-16,MPLS,80,DR BACKHAUL FIBRE,93504.6,,325396.01,SAFARICOM-SLA-(),SAFARICOM
95054464,2020-12-16,MPLS,60,ELDORET KIPTAGICH MPLS FIBER,25439.4,Upgrade 10>60 Mbps. Check Upgrade Docs. KES 69997.5,88529.11,SAFARICOM-SLA-(),SAFARICOM
95054465,2020-12-16,MPLS,5,ELDORET KPC LOOP MICROWAVE,20357.4,,70843.75,SAFARICOM-SLA-(),SAFARICOM
95034216,2020-12-16,Internet,180,HQ-INTERNET,222299.85,,889644.0,SAFARICOM-SLA-(),SAFARICOM
95054467,2020-12-16,MPLS,10,FORODHA JKIA LOOP FIBER,25439.4,,88529.11,SAFARICOM-SLA-(),SAFARICOM
95054468,2020-12-16,MPLS,30,FORTIS-WESTLANDS LOOP FIBER,20352.8,"Upgrade 5>30 Mbps. Check Upgrade Docs. KES  60,006.40 ",70827.74,SAFARICOM-SLA-(),SAFARICOM
95054469,2020-12-16,MPLS,20,GARISSA LOOP MICROWAVE,21373.0,Upgrade 6>20 Mbps. Check Upgrade Docs. KES 69997.5,74378.04,SAFARICOM-SLA-(),SAFARICOM
95054470,2020-12-16,MPLS,20,ISIOLO LOOP MICROWAVE,20357.4,Upgrade 6>20 Mbps. Check Upgrade Docs. KES 20352.8,70843.75,SAFARICOM-SLA-(),SAFARICOM
95096716,2020-12-16,MPLS,20,ISEBANIA-WIMAX,60006.4,"Upgrade 10>20 Mbps. Check Upgrade Docs. KES 73,685.10 ",208822.27,SAFARICOM-SLA-(),SAFARICOM
95054471,2020-12-16,MPLS,5,JKIA ACHIL SHED LOOP FIBER,20352.8,,70827.74,SAFARICOM-SLA-(),SAFARICOM
95054472,2020-12-16,MPLS,5,JKIA SWISSPORT,20352.8,,70827.74,SAFARICOM-SLA-(),SAFARICOM
95054473,2020-12-16,MPLS,25,KAKAMEGA LOOP CERAGON,21366.0,Upgrade 6>25 Mbps. Check Upgrade Docs. KES 25432.4,74353.68,SAFARICOM-SLA-(),SAFARICOM
95059101,2020-12-16,MPLS,4,KAJIADO-LOOP-FIBER,16998.4,,59154.43,SAFARICOM-SLA-(),SAFARICOM
95022778,2020-12-16,MPLS,10,KERICHO FIBER,60006.4,,208822.27,SAFARICOM-SLA-(),SAFARICOM
95035537,2020-12-16,MPLS,10,KILIFI MICROWAVE,60006.4,,208822.27,SAFARICOM-SLA-(),SAFARICOM
95065396,2020-12-16,MPLS,20,KILINDINI 20  Mbps MPLS,72414.0,,252000.72,SAFARICOM-SLA-(),SAFARICOM
95044903,2020-12-16,MPLS,5,KRA-LWAKHAKHA,22500.0,Former Kilindini Gate 9 ,78300.0,SAFARICOM-SLA-(),SAFARICOM
95044902,2020-12-16,MPLS,5,KRA-KOPANGA,29304.4,Former Kilindini Gate 18,101979.31,SAFARICOM-SLA-(),SAFARICOM
95044901,2020-12-16,MPLS,5,KRA-SIO PORT,29304.4,Former Kilindini Gate 20,101979.31,SAFARICOM-SLA-(),SAFARICOM
95044900,2020-12-16,MPLS,20,KRA-MARALAL,29304.4,"Former Kilindini Gate 22 down to KES 22,500. Upgrade 5>20 Mbps. Check Upgrade Docs. KES 22,500.00 ",101979.31,SAFARICOM-SLA-(),SAFARICOM
95054474,2020-12-16,MPLS,10,KRA - KIAMBU,25439.4,"Former Kilindini Shed 5 to KRA Kiambu. Price down from KES348,000",88529.11,SAFARICOM-SLA-(),SAFARICOM
95054475,2020-12-16,MPLS,30,KISII LOOP CERAGON,21366.0,Upgrade 6>30 Mbps. Check Upgrade Docs. KES 20352.8,74353.68,SAFARICOM-SLA-(),SAFARICOM
