Link_ID,SLA_Date,Last_Mile,Capacity_in_Mbps,Location,MRC_Excl,SLM_Comments,QRC_Incl,rank,SLA_ID,Unique_Link_Identifier_SLA,Service_Provider
1750,2020-10-01,Fibre,90,KRA - TIMES TOWERS TO KRA - KIXP (EADC),270000.0,"16/04/2022: Upgraded 90 Mbps @ KES 649,050  -> 150 Mbps @ KES 810,000 ex vat",939600.0,00,2020-10-LTK00,2020-10-LTK00_1750,LTK
5277,2020-10-01,Fibre,75,KRA CUSTOMS HSE TO KRA TIMES TOWER,179718.0,Not in Invoice/Renamed/Relocated,625418.64,00,2020-10-LTK00,2020-10-LTK00_5277,LTK
5611,2020-10-01,Fibre,8,KRA AIRPORT CONTAINER DEPOT TO CUSTOMS HSE MSA,20642.5,Okay. No change,71835.9,00,2020-10-LTK00,2020-10-LTK00_5611,LTK
20103,2020-10-01,Fibre,9,KRA Wilson Airport Customs to Times Towers - Vlan 2064,22950.0,Okay. No change,79866.0,00,2020-10-LTK00,2020-10-LTK00_20103,LTK
20954,2020-10-01,Fibre,20,KRA TIMES TOWERS NBO TO EGERTON UNIVERSITY NJORO[RT#44277],50000.0,Okay. No change,174000.0,00,2020-10-LTK00,2020-10-LTK00_20954,LTK
21195,2020-10-01,Fibre,80,SAMEER BUSINESS PARK TO TIMES KRA TOWERS [RT#44616],144000.0,"16/04/2022: Upgraded 16 Mbps @ KES 119,850 -> 80 Mbps @ KES 432,000 ex vat",501120.0,00,2020-10-LTK00,2020-10-LTK00_21195,LTK
22727,2020-10-01,P2P,13,LTK TO KRA ISIOLO  (RT#45506) or KRA ICD Naivasha SGR,32176.0,Not in Invoice/Renamed/Relocated,111972.48,00,2020-10-LTK00,2020-10-LTK00_22727,LTK
22728,2020-10-01,Fibre,15,LTK TO KRA MURANGA (RT#45517) or City Hall,38000.0,21/07/2023: Decommissioned and migrated to KRA Sameer Park MRI (C-00159-0087). Should not be invoiced.,132240.0,00,2020-10-LTK00,2020-10-LTK00_22728,LTK
22729,2020-10-01,Fibre,10,LTK TO KRA KAJIADO (RT#45507),19000.0,Not in Invoice/Renamed/Relocated ,66120.0,00,2020-10-LTK00,2020-10-LTK00_22729,LTK
22730,2020-10-01,P2P,10,LTK TO KRA NAROK (RT#45505),19000.0,24/04/2021: Decommissioned and migrated to JKIA Exports (SVC-000354038). Should not be invoiced.,66120.0,00,2020-10-LTK00,2020-10-LTK00_22730,LTK
22736,2020-10-01,Fibre,4,LTK TO KRA NAIROBI PPO (RT#45516),9500.0,24/04/2021: link relocated to swiss port JKIA,33060.0,00,2020-10-LTK00,2020-10-LTK00_22736,LTK
23945,2020-10-01,Fibre,8,KRA JKIA TERMINAL 2 TO KRA HQ (#47507),20000.0,Okay. No change,69600.0,00,2020-10-LTK00,2020-10-LTK00_23945,LTK
24174,2020-10-01,P2P,8,KRA KISUMU PIER TO KRA HQ (#48884),19000.0,Okay. No change,66120.0,00,2020-10-LTK00,2020-10-LTK00_24174,LTK
