Invoice_Date,Link_ID,SLA_Date,Invoice_Period,Invoice_Description,Invoice_Reference,Total_QRC,rank,SLA_ID,Unique_Link_ID,Service_Provider
2023-10-01,95001135,2020-12-16,01-Oct-2023 to 31-Dec-2023, CUSTOMS OFFICE MALINDI-WIMAX,B1-10096515502,240145.6128,00,2020-12-Saf00,2020-12-Saf00_95001135,Saf
2023-10-01,95001574,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA LOITOKTOK BORDER WIMAX,B1-10096515502,240145.6128,00,2020-12-Saf00,2020-12-Saf00_95001574,Saf
2023-10-01,95001628,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA KRATI MOMBASA WIMAX,B1-10096515502,240145.6128,00,2020-12-Saf00,2020-12-Saf00_95001628,Saf
2023-10-01,95004139,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA -  MANDERA,B1-10096515502,180078.7944,00,2020-12-Saf00,2020-12-Saf00_95004139,Saf
2023-10-01,95004140,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA -  Moyale,B1-10096515502,240145.6128,00,2020-12-Saf00,2020-12-Saf00_95004140,Saf
2023-10-01,95004141,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA WIMAX-WAJIR TOWN,B1-10096515502,180078.7944,00,2020-12-Saf00,2020-12-Saf00_95004141,Saf
2023-10-01,95006961,2023-10-01,01-Oct-2023 to 31-Dec-2023,KRA FIXED DATA ACCOUNTS,B1-10096515502,45134.6252346,01,2023-10-Saf01,2023-10-Saf01_95006961,Saf
2023-10-01,95006963,2023-10-01,01-Oct-2023 to 31-Dec-2023,KRA FIXED DATA ACCOUNTS,B1-10096515502,45134.6252346,01,2023-10-Saf01,2023-10-Saf01_95006963,Saf
2023-10-01,95009016,,01-Oct-2023 to 31-Dec-2023,KRA FIXED DATA ACCOUNTS,B1-10096515502,440220.0,02,nan-nan-Saf02,nan-nan-Saf02_95009016,Saf
2023-10-01,95021939,2023-10-01,01-Oct-2023 to 31-Dec-2023,KENYA  SCHOOL OF REVENUE  -FIBER,B1-10096515502,61230.60000000001,01,2023-10-Saf01,2023-10-Saf01_95021939,Saf
2023-10-01,95022778,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA-  KERICHO FIBER,B1-10096515502,240145.6128,00,2020-12-Saf00,2020-12-Saf00_95022778,Saf
2023-10-01,95034216,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA-HQ-INTERNET,B1-10096515502,889643.9997,00,2020-12-Saf00,2020-12-Saf00_95034216,Saf
2023-10-01,95034612,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA-KISUMU-LOOP-MICROWAVE,B1-10096515502,180078.7944,00,2020-12-Saf00,2020-12-Saf00_95034612,Saf
2023-10-01,95035537,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA-KILIFI MICROWAVE,B1-10096515502,240145.6128,00,2020-12-Saf00,2020-12-Saf00_95035537,Saf
2023-10-01,95035538,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA-TAVETA CERAGON,B1-10096515502,280129.995,00,2020-12-Saf00,2020-12-Saf00_95035538,Saf
