No.,Link Location,Last Mile,Link ID,Package,Capacity,Monthly Ex,Quaterly EX,SLA Date,VAT,TOTAL,SLM Comments
1,KENYA REVENUE AUTHORITY-DIANI,,BV001100,BC Quarterly,25 Mbps,57000,171000,44980.0,27360,198360,Captured at 8 Mbps
2,KENYA REVENUE AUTHORITY_BUNGOMA ,,BV000845,BC Quarterly,25 Mbps,57000,171000,44980.0,27360,198360,
3,KENYA REVENUE AUTHORITY_BUSIA ,,BV003899,Lite leased line ,20 Mbps,40000,120000,44980.0,19200,139200,
4,KENYA REVENUE AUTHORITY_JKIA ROOFTOP,,BV003304,BC Quarterly,10 Mbps,30000,90000,44980.0,14400,104400,
5,KENYA REVENUE AUTHORITY- CUSTOMS HSE MSA ,,BV000825,BC Quarterly,120 Mbps,275000,825000,44980.0,132000,957000,
6,KENYA REVENUE AUTHORITY_ELDORET,,BV000832,BC Quarterly,62 Mbps,140000,420000,44980.0,67200,487200,
7,KENYA REVENUE AUTHORITY_ELDORET AIRPORT ,,BV001095,BC Quarterly,62 Mbps,150000,450000,44980.0,72000,522000,
8,KENYA REVENUE AUTHORITY_EMBU ,,BV000840,BC Quarterly,62 Mbps,140000,420000,44980.0,67200,487200,
9,KENYA REVENUE AUTHORITY_EPZ ATHI RIVER ,,BV003025,BC Quarterly,10 Mbps,30000,90000,44980.0,14400,104400,
10,KENYA REVENUE AUTHORITY_FORTIS WESTLANDS ,,BV003072,BC Quarterly,80 Mbps,100000,300000,44980.0,48000,348000,
11,KENYA REVENUE AUTHORITY- GARISSA ,,BV000823,BC Quarterly,20 Mbps,49500,148500,44980.0,23760,172260,
12,KENYA REVENUE AUTHORITY_KIAMBU,,BV003330,BC Quarterly,10 Mbps,40000,120000,44980.0,19200,139200,
13,KENYA REVENUE AUTHORITY_EMALI,,BV003833,BC Quarterly,10 Mbps,20000,60000,44980.0,9600,69600,
14,KENYA REVENUE AUTHORITY_HQ ,,BV000821,BC Quarterly,450 Mbps,620000,1860000,44980.0,297600,2157600,
15,KENYA REVENUE AUTHORITY_ISIOLO ,,BV003275,BC Quarterly,8 Mbps,20000,60000,44980.0,9600,69600,
16,KENYA REVENUE AUTHORITY I-TAX CENTRE KERICHO,,BV002393,BC Quarterly,30 Mbps,60000,180000,44980.0,28800,208800,
17,KENYA REVENUE AUTHORITY_KAKAMEGA ,,BV000844,BC Quarterly,40 Mbps,82500,247500,44980.0,39600,287100,
18,KENYA REVENUE AUTHORITY_KERICHO PPO ,,BV003194,BC Quarterly,8 Mbps,20000,60000,44980.0,9600,69600,
19,KENYA REVENUE AUTHORITY_KILINDINI NEW CONTAINER TERMINAL,,BV003105,BC Quarterly,40 Mbps,90000,270000,44980.0,43200,313200,
20,KENYA REVENUE AUTHORITY-KILINDINI SHED 5 ,,BV002664,BC Quarterly,80 Mbps,100000,300000,44980.0,48000,348000,
21,KENYA REVENUE AUTHORITY_KISII ,,BV000843,BC Quarterly,30 Mbps,70000,210000,44980.0,33600,243600,
22,KENYA REVENUE AUTHORITY_KISUMU ,,BV000831,BC Quarterly,25 Mbps,57000,171000,44980.0,27360,198360,
23,KENYA REVENUE AUTHORITY_KITALE ,,BV000828,BC Quarterly,30 Mbps,70000,210000,44980.0,33600,243600,
24,KENYA REVENUE AUTHORITY_KITUI ,,BV003917,Lite leased line ,20 Mbps,35000,105000,44980.0,16800,121800,
25,KENYA REVENUE AUTHORITY_KRA OLD TOWN ,,BV003324,BC Quarterly,10 Mbps,40000,120000,44980.0,19200,139200,
26,KENYA REVENUE AUTHORITY_LAMU ,,BV000842,BC Quarterly,25 Mbps,57000,171000,44980.0,27360,198360,
27,KENYA REVENUE AUTHORITY_LAMU LAPPSET,,BV003929,Lite leased line ,20 Mbps,40000,120000,44980.0,19200,139200,
28,KENYA REVENUE AUTHORITY-LODWAR ,,BV003574,BC Quarterly,10 Mbps,32000,96000,44980.0,15360,111360,
29,KENYA REVENUE AUTHORITY_LOKICHOGIO ,,BV002884,BC Quarterly,18 mbps,45000,135000,44980.0,21600,156600,
30,KENYA REVENUE AUTHORITY_LUNGA LUNGA ,,BV003921,Lite leased line ,20 Mbps,35000,105000,44980.0,16800,121800,
31,KENYA REVENUE AUTHORITY- MACHAKOS ,,BV000824,BC Quarterly,25 Mbps,65000,195000,44980.0,31200,226200,
32,KENYA REVENUE AUTHORITY_MALINDI ,,BV000839,BC Quarterly,40 Mbps,82500,247500,44980.0,39600,287100,
33,KENYA REVENUE AUTHORITY_MARALAL ,,BV003918,Lite leased line ,20 Mbps,35000,105000,44980.0,16800,121800,
34,KENYA REVENUE AUTHORITY- MERU ,,BV000822,BC Quarterly,35 Mbps,82500,247500,44980.0,39600,287100,
35,KENYA REVENUE AUTHORITY_MOYALE ,,BV003106,BC Quarterly,10 Mbps,50000,150000,44980.0,24000,174000,
36,KENYA REVENUE AUTHORITY_NAIVASHA ,,BV000834,BC Quarterly,40 Mbps,82500,247500,44980.0,39600,287100,
37,KENYA REVENUE AUTHORITY_NAKURU ,,BV000833,BC Quarterly,40 Mbps,82500,247500,44980.0,39600,287100,
38,KENYA REVENUE AUTHORITY _ NAKURU KPC ,,BV001198,BC Quarterly,25 Mbps,57000,171000,44980.0,27360,198360,
39,KENYA REVENUE AUTHORITY_NAKURU PPO ,,BV003195,BC Quarterly,8 Mbps,20000,60000,44980.0,9600,69600,
40,KENYA REVENUE AUTHORITY_NAMANGA ,,BV003104,BC Quarterly,30 Mbps,40000,207000,44980.0,33120,240120,Upgraded to 30Mbps @KES 207000. Need approval docs
41,KENYA REVENUE AUTHORITY-NANYUKI ,,BV001653,BC Quarterly,18 Mbps,45000,135000,44980.0,21600,156600,
42,KENYA REVENUE AUTHORITY_NAROK ,,BV003922,Lite leased line ,20 Mbps,35000,105000,44980.0,16800,121800,
43,KENYA REVENUE AUTHORITY_NYERI ,,BV000830,BC Quarterly,62 Mbps,140000,420000,44980.0,67200,487200,
44,KENYA REVENUE AUTHORITY-SUAM BORDER ,,BV002851,BC Quarterly,18 Mbps,45000,135000,44980.0,21600,156600,
