No.,Link Location,Last Mile,Link ID,Package,Capacity,Monthly Ex,Quaterly EX,SLA Date,Excise,VAT,TOTAL
1,KENYA REVENUE AUTHORITY-DIANI,,BV001100,BC Quarterly,25 Mbps,57000.0,171000,2023-02-23,,27360.0,198360.0
2,KENYA REVENUE AUTHORITY_BUNGOMA ,,BV000845,BC Quarterly,25 Mbps,57000.0,171000,2023-02-23,,27360.0,198360.0
3,KENYA REVENUE AUTHORITY_BUSIA ,,BV003899,Lite leased line ,20 Mbps,40000.0,120000,2023-02-23,,19200.0,139200.0
4,KENYA REVENUE AUTHORITY_JKIA ROOFTOP,,BV003304,BC Quarterly,10 Mbps,30000.0,90000,2023-02-23,,14400.0,104400.0
5,KENYA REVENUE AUTHORITY- CUSTOMS HSE MSA ,,BV000825,BC Quarterly,120 Mbps,275000.0,825000,2023-02-23,,132000.0,957000.0
6,KENYA REVENUE AUTHORITY_ELDORET,,BV000832,BC Quarterly,62 Mbps,140000.0,420000,2023-02-23,,67200.0,487200.0
7,KENYA REVENUE AUTHORITY_ELDORET AIRPORT ,,BV001095,BC Quarterly,62 Mbps,150000.0,450000,2023-02-23,,72000.0,522000.0
8,KENYA REVENUE AUTHORITY_EMBU ,,BV000840,BC Quarterly,62 Mbps,140000.0,420000,2023-02-23,,67200.0,487200.0
9,KENYA REVENUE AUTHORITY_EPZ ATHI RIVER ,,BV003025,BC Quarterly,10 Mbps,30000.0,90000,2023-02-23,,14400.0,104400.0
10,KENYA REVENUE AUTHORITY_FORTIS WESTLANDS ,,BV003072,BC Quarterly,80 Mbps,100000.0,300000,2023-02-23,,48000.0,348000.0
11,KENYA REVENUE AUTHORITY- GARISSA ,,BV000823,BC Quarterly,20 Mbps,49500.0,148500,2023-02-23,,23760.0,172260.0
12,KENYA REVENUE AUTHORITY_KIAMBU,,BV003330,BC Quarterly,10 Mbps,40000.0,120000,2023-02-23,,19200.0,139200.0
13,KENYA REVENUE AUTHORITY_EMALI,,BV003833,BC Quarterly,10 Mbps,20000.0,60000,2023-02-23,,9600.0,69600.0
14,KENYA REVENUE AUTHORITY_HQ ,,BV000821,BC Quarterly,450 Mbps,620000.0,1860000,2023-02-23,,297600.0,2157600.0
15,KENYA REVENUE AUTHORITY_ISIOLO ,,BV003275,BC Quarterly,8 Mbps,20000.0,60000,2023-02-23,,9600.0,69600.0
16,KENYA REVENUE AUTHORITY I-TAX CENTRE KERICHO,,BV002393,BC Quarterly,30 Mbps,60000.0,180000,2023-02-23,,28800.0,208800.0
17,KENYA REVENUE AUTHORITY_KAKAMEGA ,,BV000844,BC Quarterly,40 Mbps,82500.0,247500,2023-02-23,,39600.0,287100.0
